"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2006,"AXIS","BM4",-3.581441,-2.8661729,-1.1913159,10.81438611,17.23408375,22.49737786,1.665621611,0,5.0577168,1.8530914,18.280116,0,0,0,35.10962274,3.581441,1.1913159,2.8661729,-0.308054425002391,0,0,0,"BM4",2.0890217,0.9346423,2.2448362,-0.572740136074783,15.58624925,24.84548785,1.981882119,0,5.7299346,1.7257673,18.806946,0,0,0,41.90890402,-0.274874770913583,-0.329430742478935,-0.250819549575106,-0.796927248102974,0,0,0
2007,"AXIS","BM4",-3.6325011,-3.1990269,-1.3122574,11.20173203,21.53226162,22.1975554,1.110150721,0,3.3227402,2.1797176,20.962017,0,0,0,27.03169487,3.6325011,1.3122574,3.1990269,0.28997303736258,1,0,1,"BM4",3.581441,1.1913159,2.8661729,-0.308054425002391,17.23408375,22.49737786,1.665621611,0,5.0577168,1.8530914,18.280116,0,0,0,35.10962274,-0.383553214075425,-0.485944360065679,-0.241057477938154,-0.654512984388931,0,0,0
2008,"AXIS","BM4",-7.0822687,-4.5989512,-1.8449513,11.60439052,12.49364003,24.48556887,0.811365799,0,2.3775924,2.639295,17.596944,0,0,0,27.1051529,7.0822687,1.8449513,4.5989512,0.0483782819966785,1,0,1,"BM4",3.6325011,1.3122574,3.1990269,0.28997303736258,21.53226162,22.1975554,1.110150721,0,3.3227402,2.1797176,20.962017,0,0,0,27.03169487,-0.440610645580655,-0.692576942944689,-0.292345914201109,-0.33092749631895,0,0,0
2009,"AXIS","BM4",-6.479425,-3.630301,-1.4183551,11.90308774,14.46157076,20.81369794,1.08436276,0,1.7752186,2.8887102,19.12364,0,0,0,25.26123534,6.479425,1.4183551,3.630301,0.252507605087696,1,0,1,"BM4",7.0822687,1.8449513,4.5989512,0.0483782819966785,12.49364003,24.48556887,0.811365799,0,2.3775924,2.639295,17.596944,0,0,0,27.1051529,-0.504823403217882,-0.481684102679656,-0.141542817167719,-0.610913649169863,0,0,0
2010,"AXIS","BM4",-2.8956412,-2.1179691,-0.9251439,12.10430485,11.25909027,23.80498653,1.392844755,0,1.4195536,2.9766718,19.151475,0,0,0,26.38031708,2.8956412,0.9251439,2.1179691,0.311637038661903,0,0,0,"BM4",6.479425,1.4183551,3.630301,0.252507605087696,14.46157076,20.81369794,1.08436276,0,1.7752186,2.8887102,19.12364,0,0,0,25.26123534,-0.595125952064851,-0.533341776426369,-0.141726756477738,-0.470421392287449,0,0,0
2011,"AXIS","BM4",-3.2124687,-2.795869,-1.2133378,12.39963649,12.77517769,24.15445843,1.278595254,0,1.3371416,3.3696944,19.338797,0,0,0,25.10082867,3.2124687,1.2133378,2.795869,0.623025110902151,0,0,0,"BM4",2.8956412,0.9251439,2.1179691,0.311637038661903,11.25909027,23.80498653,1.392844755,0,1.4195536,2.9766718,19.151475,0,0,0,26.38031708,-0.609951624074322,-0.445796050363862,-0.148195839762741,-0.535558435716833,0,0,0
2012,"AXIS","BM4",-3.5615935,-2.3706138,-1.069528,12.56244482,12.52284296,21.91183427,1.178987135,0,1.0590422,3.4105935,20.294056,0,0,0,22.55661228,3.5615935,1.069528,2.3706138,0.681284074668489,0,0,0,"BM4",3.2124687,1.2133378,2.795869,0.623025110902151,12.77517769,24.15445843,1.278595254,0,1.3371416,3.3696944,19.338797,0,0,0,25.10082867,-0.626800220072281,-0.463477079767087,-0.176236596910343,-0.486414584446009,0,0,0
2013,"AXIS","BM4",-4.2499396,-2.4348126,-1.0687544,12.73834853,10.28639904,20.49654042,1.192258307,0,0.808277,3.4000614,18.52563,0,0,0,22.14105787,4.2499396,1.0687544,2.4348126,0.641260424535333,0,0,0,"BM4",3.5615935,1.069528,2.3706138,0.681284074668489,12.52284296,21.91183427,1.178987135,0,1.0590422,3.4105935,20.294056,0,0,0,22.55661228,-0.691107701732336,-0.465245216176517,-0.135445511535049,-0.413995025783895,0,0,0
2014,"AXIS","BM4",-1.8245833,-1.9730655,-0.9039076,12.85642946,10.02721114,20.76616456,1.290939996,0,0.7628901,3.292381,17.433929,0,0,0,24.43639055,1.8245833,0.9039076,1.9730655,0.765935956856284,0,0,0,"BM4",4.2499396,1.0687544,2.4348126,0.641260424535333,10.28639904,20.49654042,1.192258307,0,0.808277,3.4000614,18.52563,0,0,0,22.14105787,-0.708856847755733,-0.405544487010382,-0.0883637510331298,-0.466655952253569,0,0,0
2015,"AXIS","BM4",-4.2467082,-2.2502801,-0.9601529,13.04317383,10.33949032,20.99220061,1.361535564,0,0.6801525,3.4179296,17.751721,0,0,0,20.87063198,4.2467082,0.9601529,2.2502801,0.945185676956232,1,1,0,"BM4",1.8245833,0.9039076,1.9730655,0.765935956856284,10.02721114,20.76616456,1.290939996,0,0.7628901,3.292381,17.433929,0,0,0,24.43639055,-0.665019890150219,-0.369165106450147,-0.09108119915874,-0.553113646809345,0,0,0
